brand|description|condition|id|image_link|link|mpn|isbn|price|google product category|title|upc|shipping|adwords_redirect|adwords_labels|Product type|Size|Colour|availability|promotion_id|is_bundle
CDA|90cm Designer Extractor|New|3C9|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/CDA-3c9-cooker-hood.jpg|http://www.appliancecity.co.uk/cda/cooker-hoods/3c9/product-13350//|3C9||999.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|CDA 3C9 in BLACK 90cm Designer Extractor|5060143316074|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=3&DELCMD=70|CDA|Cooker Hoods||BLACK|In Stock||
CDA|90cm Downdraft Extractor|New|3D9BL|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/CDA-3d9bl-downdraft.jpg|http://www.appliancecity.co.uk/cda/cooker-hoods/3d9bl/product-13351//|3D9BL||1599.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|CDA 3D9BL in BLACK 90cm Downdraft Extractor|5060143316104|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=6&DELCMD=70|CDA|Cooker Hoods||BLACK|In Stock||
CDA|51cm Lantern Style Island Hood|New|3L9|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/CDA-3l9-cooker-hood.jpg|http://www.appliancecity.co.uk/cda/cooker-hoods/3l9/product-13361//|3L9||995.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|CDA 3L9 in STAINLESS STEEL 51cm Lantern Style Island Hood|5060143316067|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=8&DELCMD=70|CDA|Cooker Hoods||STAINLESS STEEL|In Stock||
CDA|60cm Designer Gas Hob|New|4Q4|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/CDA-4q4-gas-hob.jpg|http://www.appliancecity.co.uk/cda/hobs/4q4/product-13365//|4Q4||365.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|CDA 4Q4 in STAINLESS STEEL 60cm Designer Gas Hob|5060143310973|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=13&DELCMD=70|CDA|Hobs||STAINLESS STEEL|In Stock||
CDA|70cm 5 Burner Gas On Glass Hob|New|4Q5SS|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/CDA-4q5ss-gas-hob.jpg|http://www.appliancecity.co.uk/cda/hobs/4q5ss/product-14624//|4Q5SS||449.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|CDA 4Q5SS in STAINLESS STEEL 70cm 5 Burner Gas On Glass Hob|5060143317521|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=14&DELCMD=70|CDA|Hobs||STAINLESS STEEL|In Stock||
CDA|Designer Multifunction Single Oven|New|6Q5|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/CDA-6q5-oven.jpg|http://www.appliancecity.co.uk/cda/ovens/6q5/product-13370//|6Q5||499.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ovens|CDA 6Q5 in STAINLESS STEEL Designer Multifunction Single Oven|5060143310423|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=22&DELCMD=70|CDA|Ovens||STAINLESS STEEL|In Stock||
CDA|Built In Designer Electric Double Oven|New|9Q6|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/C/CDA-9q6-double-oven.jpg|http://www.appliancecity.co.uk/cda/ovens/9q6/product-13375//|9Q6||835.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ovens|CDA 9Q6 in STAINLESS STEEL Built In Designer Electric Double Oven|5060143310577|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=31&DELCMD=70|CDA|Ovens||STAINLESS STEEL|In Stock||
Smeg|A1 90cm 'Opera' Dual Fuel Range Cooker|New|A1-7|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/S/Smeg-A1-7-Cooker2.jpg|http://www.appliancecity.co.uk/smeg/cookers/a1-7/product-17770//|A1-7||1344.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ranges|Smeg A1-7 in STAINLESS STEEL A1 90cm ''Opera'' Dual Fuel Range Cooker|8017709161422|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=32&DELCMD=70|Smeg|Cookers||STAINLESS STEEL|In Stock||
Smeg|100cm 'Opera' Dual Fuel Range Cooker|New|A2-8|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/S/Smeg-a2-8-range-cooker.jpg|http://www.appliancecity.co.uk/smeg/cookers/a2-8/product-15567//|A2-8||1799.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ranges|Smeg A2-8 in STAINLESS STEEL 100cm ''Opera'' Dual Fuel Range Cooker|8017709155001|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=35&DELCMD=70|Smeg|Cookers||STAINLESS STEEL|In Stock||
Smeg|100cm 'Opera' Dual Fuel Range Cooker|New|A2BL-8|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/S/Smeg-a2bl-8-cooker.jpg|http://www.appliancecity.co.uk/smeg/cookers/a2bl-8/product-16188//|A2BL-8||1799.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ranges|Smeg A2BL-8 in BLACK 100cm ''Opera'' Dual Fuel Range Cooker|8017709155100|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=36&DELCMD=70|Smeg|Cookers||BLACK|In Stock||
Smeg|A3 120cm 'Opera' Dual Fuel Range Cooker|New|A3-7|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/S/Smeg-A3-7-range-cooker.jpg|http://www.appliancecity.co.uk/smeg/cookers/a3-7/product-17776//|A3-7||2349.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ranges|Smeg A3-7 in STAINLESS STEEL A3 120cm ''Opera'' Dual Fuel Range Cooker|8017709162375|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=37&DELCMD=70|Smeg|Cookers||STAINLESS STEEL|In Stock||
Smeg|A4 120cm 'Opera' Dual Fuel Range Cooker|New|A4-8|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/S/Smeg-A4-6-range-cooker.jpg|http://www.appliancecity.co.uk/smeg/cookers/a4-8/product-14983//|A4-8||2749.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ranges|Smeg A4-8 in STAINLESS STEEL A4 120cm ''Opera'' Dual Fuel Range Cooker|8017709153878|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=38&DELCMD=70|Smeg|Cookers||STAINLESS STEEL|In Stock||
Smeg|A4 120cm 'Opera' Dual Fuel Range Cooker|New|A4BL-8|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/S/Smeg-A4bl-6-range-cooker.jpg|http://www.appliancecity.co.uk/smeg/cookers/a4bl-8/product-14984//|A4BL-8||2549.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ranges|Smeg A4BL-8 in BLACK A4 120cm ''Opera'' Dual Fuel Range Cooker|8017709154752|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=39&DELCMD=70|Smeg|Cookers||BLACK|In Stock||
Smeg|150cm 'opera' Dual Fuel Range Cooker|New|A5-8|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/S/Smeg-a5-8-cooker.jpg|http://www.appliancecity.co.uk/smeg/cookers/a5-8/product-14988//|A5-8||2958.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Ranges|Smeg A5-8 in STAINLESS STEEL 150cm ''opera'' Dual Fuel Range Cooker|8017709154844|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=40&DELCMD=70|Smeg|Cookers||STAINLESS STEEL|In Stock|424|
